agent,shipments
Seatrans,26
Parulekars,23
AMI,19
Sealand,9
Focus Logistics,3
NTC,3
SKR Supply Chain,2
Direct Consignment,1
Ace Express,1
Glo Ind Logistics,1
NCS,1
