agent,shipments
Seatrans,79
AMI,63
Sealand,21
Parulekars,20
Direct Consignment,5
New Globe Group,4
SSC Shipping,3
Ryderlines,2
SKR Supply Chain,1
Glo Ind Logistics,1
Focus Logistics,1
Cross Border,1
