agent,shipments
AMI,353
Seatrans,281
Sealand,136
Parulekars,133
Direct Consignment,24
SSC,12
Ace Express,9
Focus Logistics,8
SKR Supply Chain,7
RyderLines,7
Glo Ind Logistics,5
New Globe Group,4
NTC,4
Trimar,3
NCS,1
Yuexin Logistics,1
Tongjin,1
Cross Border,1
